segment_type,segment_value,listing_count,empirical_coverage,average_interval_width,median_interval_width,mae,median_absolute_error,potentially_underpriced_count,potentially_overpriced_count,nominal_coverage,coverage_gap,underpriced_rate,overpriced_rate
state,al,205,0.9073170731707317,13199.044575104792,13963.332709090158,3315.7611899818476,1907.59916369394,5,14,0.9,0.007317073170731714,0.024390243902439025,0.06829268292682927
state,nv,465,0.9075268817204301,13421.85167400055,13963.332709090158,3384.9790879494085,1853.8943178749687,17,26,0.9,0.007526881720430034,0.03655913978494624,0.05591397849462366
state,pa,763,0.908256880733945,12824.61556067765,13963.332709090158,2634.4104476366847,1329.449882437284,28,42,0.9,0.008256880733944927,0.03669724770642202,0.05504587155963303
state,va,400,0.9125,12766.995122957727,13963.332709090157,2578.8552522817618,1317.0136492980819,12,23,0.9,0.012499999999999956,0.03,0.0575
state,ma,792,0.9141414141414141,12918.84888693794,13963.332709090158,2562.68147113284,1406.4291534368485,34,34,0.9,0.014141414141414121,0.04292929292929293,0.04292929292929293
state,ia,553,0.9168173598553345,13346.522643718889,13963.332709090158,2648.5234144655747,1449.5599275374516,17,29,0.9,0.0168173598553345,0.03074141048824593,0.05244122965641953
state,mi,1497,0.9171676686706747,13034.620196807144,13963.332709090158,2877.3540812255933,1451.6620646040665,48,76,0.9,0.017167668670674652,0.03206412825651302,0.05076820307281229
state,in,324,0.9197530864197531,12868.238879199438,13963.332709090158,2874.7034578621356,1589.5590961073522,4,22,0.9,0.01975308641975304,0.012345679012345678,0.06790123456790123
state,mo,224,0.9241071428571429,13109.776805475452,13963.332709090158,2946.718407125686,1716.9166701668028,5,12,0.9,0.024107142857142883,0.022321428571428572,0.05357142857142857
state,tn,647,0.9273570324574961,13364.6433277238,13963.332709090158,2991.426797745902,1974.2364199733056,16,31,0.9,0.0273570324574961,0.02472952086553323,0.04791344667697063
state,mn,1512,0.9298941798941799,13051.354602120127,13963.332709090158,2612.8345698225376,1484.3476121697222,29,77,0.9,0.029894179894179862,0.01917989417989418,0.05092592592592592
state,dc,351,0.9316239316239316,13048.105016087733,13963.332709090158,2653.8948893425354,1501.2773732308997,11,13,0.9,0.03162393162393162,0.03133903133903134,0.037037037037037035
state,wi,896,0.9330357142857143,12928.648195310208,13963.332709090158,2638.6397226885497,1527.0565946441284,21,39,0.9,0.03303571428571428,0.0234375,0.04352678571428571
state,oh,1062,0.9331450094161958,12595.933552239725,13963.332709090157,2407.8056673818237,1411.2643498640846,34,37,0.9,0.0331450094161958,0.032015065913371,0.03483992467043315
